Date,Hour,Day_of_Week,Product_ID,Product,Current_Price,Competitor_Price,Demand,Inventory,Customer_Segment,Conversion_Rate,Promotion,Discount_Percent,Demand_Index,Revenue,Optimal_Price
2025-01-01,16,Wednesday,P1016,Smartwatch,45651,47436,494,426,Price_Sensitive,0.108,1,6.86,0.988,22551594,49759.59
2025-01-01,17,Wednesday,P1017,Camera,28390,26466,75,701,Premium,0.081,0,0.0,0.15,2129250,27538.3
2025-01-01,18,Wednesday,P1018,Headphones,30223,28521,349,817,Regular,0.139,1,26.88,0.698,10547827,30525.23
2025-01-01,19,Wednesday,P1019,Laptop,30580,28916,455,652,New_Visitor,0.095,0,0.0,0.91,13913900,31803.2
2025-01-01,20,Wednesday,P1020,Camera,29820,29729,234,838,Regular,0.091,1,9.7,0.468,6977880,28925.4
2025-01-01,21,Wednesday,P1021,Laptop,47076,44759,277,529,Price_Sensitive,0.129,0,0.0,0.554,13040052,47076.0
2025-01-01,22,Wednesday,P1022,Laptop,28228,26911,11,661,New_Visitor,0.022,0,0.0,0.022,310508,28228.0
2025-01-01,23,Wednesday,P1023,Laptop,47217,43863,181,749,New_Visitor,0.143,0,0.0,0.362,8546277,45800.49
2025-01-02,0,Thursday,P1024,Camera,44715,42368,264,313,New_Visitor,0.123,1,11.96,0.528,11804760,44715.0
2025-01-02,1,Thursday,P1025,Laptop,28348,27331,335,483,Premium,0.216,0,0.0,0.67,9496580,29481.92
2025-01-02,2,Thursday,P1026,Headphones,7046,7343,156,167,New_Visitor,0.033,1,11.93,0.312,1099176,7398.3
2025-01-02,3,Thursday,P1027,Mobile,11611,10769,485,972,Premium,0.06,0,0.0,0.97,5631335,11727.11
2025-01-02,4,Thursday,P1028,Mobile,30806,29133,153,365,New_Visitor,0.143,0,0.0,0.306,4713318,30806.0
2025-01-02,5,Thursday,P1029,Mobile,32116,29502,149,472,Premium,0.222,0,0.0,0.298,4785284,32116.0
2025-01-02,6,Thursday,P1030,Laptop,43142,45091,140,423,New_Visitor,0.107,1,25.53,0.28,6039880,45299.1
2025-01-02,7,Thursday,P1031,Laptop,33211,35106,113,871,Regular,0.012,0,0.0,0.226,3752843,33875.22
2025-01-02,8,Thursday,P1032,Camera,2700,2432,393,897,Regular,0.127,0,0.0,0.786,1061100,2727.0
2025-01-02,9,Thursday,P1033,Smartwatch,47260,44196,77,820,Regular,0.088,1,19.49,0.154,3639020,45842.2
2025-01-02,10,Thursday,P1034,Camera,21380,20559,185,479,Price_Sensitive,0.098,0,0.0,0.37,3955300,21380.0
2025-01-02,11,Thursday,P1035,Smartwatch,9254,9979,292,46,Regular,0.094,0,0.0,0.584,2702168,9716.7
2025-01-02,12,Thursday,P1036,Laptop,29624,28025,313,678,New_Visitor,0.016,0,0.0,0.626,9272312,30808.96
2025-01-02,13,Thursday,P1037,Laptop,19089,20822,382,537,Price_Sensitive,0.189,1,9.92,0.764,7291998,20807.01
2025-01-02,14,Thursday,P1038,Smartwatch,1199,1283,200,272,Premium,0.056,0,0.0,0.4,239800,1258.95
2025-01-02,15,Thursday,P1039,Camera,27141,27449,232,585,Regular,0.233,0,0.0,0.464,6296712,28498.05
2025-01-02,16,Thursday,P1040,Mobile,7955,8227,160,981,Price_Sensitive,0.134,1,22.22,0.32,1272800,8114.1
2025-01-02,17,Thursday,P1041,Laptop,40828,42481,185,58,Premium,0.081,0,0.0,0.37,7553180,42869.4
2025-01-02,18,Thursday,P1042,Mobile,30092,30763,325,525,Price_Sensitive,0.13,1,19.5,0.65,9779900,32800.28
2025-01-02,19,Thursday,P1043,Headphones,22886,22144,101,373,Regular,0.115,0,0.0,0.202,2311486,22886.0
2025-01-02,20,Thursday,P1044,Camera,28812,26824,199,144,Regular,0.152,0,0.0,0.398,5733588,28812.0
2025-01-02,21,Thursday,P1045,Headphones,5277,5617,63,463,Premium,0.135,1,6.47,0.126,332451,5540.85
2025-01-02,22,Thursday,P1046,Smartwatch,22106,20272,374,903,Regular,0.14,0,0.0,0.748,8267644,22327.06
2025-01-02,23,Thursday,P1047,Headphones,40067,43880,133,125,Regular,0.02,0,0.0,0.266,5328911,42070.35
2025-01-03,0,Friday,P1048,Camera,28751,30154,355,760,Regular,0.241,1,20.88,0.71,10206605,30476.06
2025-01-03,1,Friday,P1049,Smartwatch,1581,1712,248,821,New_Visitor,0.142,1,19.81,0.496,392088,1612.62
2025-01-03,2,Friday,P1050,Smartwatch,46452,50677,496,723,Price_Sensitive,0.115,1,1.43,0.992,23040192,49239.12
2025-01-03,3,Friday,P1051,Mobile,2179,2030,95,716,Premium,0.038,0,0.0,0.19,207005,2113.63
2025-01-03,4,Friday,P1052,Laptop,30945,33912,462,223,New_Visitor,0.033,0,0.0,0.924,14296590,33730.05
2025-01-03,5,Friday,P1053,Headphones,37720,36954,19,777,Premium,0.223,0,0.0,0.038,716680,36588.4
2025-01-03,6,Friday,P1054,Mobile,23789,25851,105,788,New_Visitor,0.168,0,0.0,0.21,2497845,24264.78
2025-01-03,7,Friday,P1055,Mobile,29668,31846,169,494,New_Visitor,0.148,0,0.0,0.338,5013892,31151.4
2025-01-03,8,Friday,P1056,Headphones,26644,26421,188,446,Premium,0.16,1,19.54,0.376,5009072,26644.0
2025-01-03,9,Friday,P1057,Camera,24607,23494,21,626,Regular,0.014,0,0.0,0.042,516747,24607.0
2025-01-03,10,Friday,P1058,Camera,27850,25461,273,624,Regular,0.174,0,0.0,0.546,7603050,27850.0
2025-01-03,11,Friday,P1059,Camera,42076,42042,323,520,Regular,0.161,1,22.05,0.646,13590548,43759.04
2025-01-03,12,Friday,P1060,Smartwatch,24048,22999,403,888,Premium,0.146,0,0.0,0.806,9691344,24288.48
2025-01-03,13,Friday,P1061,Camera,20963,19402,496,115,New_Visitor,0.218,0,0.0,0.992,10397648,21801.52
2025-01-03,14,Friday,P1062,Headphones,36708,38028,288,236,Price_Sensitive,0.035,1,15.16,0.576,10571904,38543.4
2025-01-03,15,Friday,P1063,Laptop,1198,1102,109,415,Premium,0.227,0,0.0,0.218,130582,1198.0
2025-01-03,16,Friday,P1064,Headphones,17601,18223,61,870,Regular,0.162,0,0.0,0.122,1073661,17953.02
2025-01-03,17,Friday,P1065,Camera,37759,36465,388,488,New_Visitor,0.237,1,3.4,0.776,14650492,39269.36
2025-01-03,18,Friday,P1066,Smartwatch,22045,24135,407,242,Regular,0.116,1,10.53,0.814,8972315,24029.05
2025-01-03,19,Friday,P1067,Mobile,38114,35392,83,973,New_Visitor,0.218,1,12.78,0.166,3163462,36970.58
2025-01-03,20,Friday,P1068,Mobile,28069,30269,203,536,Premium,0.03,1,11.23,0.406,5698007,29472.45
2025-01-03,21,Friday,P1069,Laptop,18249,19390,336,236,Premium,0.191,0,0.0,0.672,6131664,19891.41
2025-01-03,22,Friday,P1070,Camera,7088,6915,176,110,Regular,0.228,0,0.0,0.352,1247488,7088.0
2025-01-03,23,Friday,P1071,Camera,21152,19084,229,657,Regular,0.188,1,24.68,0.458,4843808,21152.0
2025-01-04,0,Saturday,P1072,Laptop,39798,40461,199,524,Price_Sensitive,0.125,0,0.0,0.398,7919802,41787.9
2025-01-04,1,Saturday,P1073,Laptop,38297,37809,67,575,Premium,0.243,0,0.0,0.134,2565899,38297.0
2025-01-04,2,Saturday,P1074,Smartwatch,21059,21175,212,783,Premium,0.071,0,0.0,0.424,4464508,21480.18
2025-01-04,3,Saturday,P1075,Laptop,49029,45755,314,545,Price_Sensitive,0.119,0,0.0,0.628,15395106,50990.16
2025-01-04,4,Saturday,P1076,Camera,19587,20515,468,31,Regular,0.238,1,13.67,0.936,9166716,21349.83
2025-01-04,5,Saturday,P1077,Headphones,30203,28207,173,109,New_Visitor,0.095,0,0.0,0.346,5225119,30203.0
2025-01-04,6,Saturday,P1078,Headphones,38232,41859,201,942,Regular,0.018,0,0.0,0.402,7684632,38996.64
2025-01-04,7,Saturday,P1079,Smartwatch,36047,34395,406,577,Price_Sensitive,0.207,1,21.77,0.812,14635082,37488.88
2025-01-04,8,Saturday,P1080,Laptop,509,553,251,270,Premium,0.05,0,0.0,0.502,127759,534.45
2025-01-04,9,Saturday,P1081,Laptop,35461,38916,186,798,Premium,0.19,0,0.0,0.372,6595746,36170.22
2025-01-04,10,Saturday,P1082,Camera,7438,7540,426,629,Premium,0.11,0,0.0,0.852,3168588,8107.42
2025-01-04,11,Saturday,P1083,Headphones,18884,19013,142,889,Price_Sensitive,0.143,1,28.34,0.284,2681528,19261.68
2025-01-04,12,Saturday,P1084,Mobile,13956,13233,466,897,Premium,0.239,0,0.0,0.932,6503496,14095.56
2025-01-04,13,Saturday,P1085,Laptop,38244,40209,43,367,Price_Sensitive,0.037,0,0.0,0.086,1644492,40156.2
2025-01-04,14,Saturday,P1086,Mobile,43625,46516,315,287,Premium,0.142,0,0.0,0.63,13741875,47551.25
2025-01-04,15,Saturday,P1087,Camera,43308,44087,264,322,Price_Sensitive,0.191,0,0.0,0.528,11433312,45473.4
2025-01-04,16,Saturday,P1088,Mobile,27198,25636,431,723,New_Visitor,0.245,0,0.0,0.862,11722338,27469.98
2025-01-04,17,Saturday,P1089,Mobile,7441,7522,444,466,Regular,0.094,0,0.0,0.888,3303804,8110.69
2025-01-04,18,Saturday,P1090,Headphones,5137,5262,60,100,Premium,0.201,0,0.0,0.12,308220,5393.85
2025-01-04,19,Saturday,P1091,Laptop,22333,23534,349,88,Regular,0.159,0,0.0,0.698,7794217,24342.97
2025-01-04,20,Saturday,P1092,Camera,12515,12118,120,780,Price_Sensitive,0.041,0,0.0,0.24,1501800,12139.55
2025-01-04,21,Saturday,P1093,Headphones,45915,47719,290,214,New_Visitor,0.124,0,0.0,0.58,13315350,48210.75
2025-01-04,22,Saturday,P1094,Mobile,29232,27432,412,808,Premium,0.093,0,0.0,0.824,12043584,29524.32
2025-01-04,23,Saturday,P1095,Smartwatch,40249,37195,242,543,Regular,0.225,0,0.0,0.484,9740258,40249.0
2025-01-05,0,Sunday,P1096,Mobile,47392,45700,291,268,Price_Sensitive,0.161,0,0.0,0.582,13791072,47392.0
2025-01-05,1,Sunday,P1097,Camera,19762,19276,346,45,New_Visitor,0.203,1,5.54,0.692,6837652,20552.48
2025-01-05,2,Sunday,P1098,Mobile,29199,28433,225,405,Premium,0.025,0,0.0,0.45,6569775,29199.0
2025-01-05,3,Sunday,P1099,Camera,5626,5836,416,769,Price_Sensitive,0.138,0,0.0,0.832,2340416,5963.56
2025-01-05,4,Sunday,P1100,Mobile,23833,23988,24,211,Premium,0.187,0,0.0,0.048,571992,25024.65
2025-01-05,5,Sunday,P1101,Laptop,30426,27926,135,831,Premium,0.224,0,0.0,0.27,4107510,29513.22
2025-01-05,6,Sunday,P1102,Headphones,8061,8527,118,165,Price_Sensitive,0.15,1,16.73,0.236,951198,8464.05
2025-01-05,7,Sunday,P1103,Laptop,23775,22004,434,632,Regular,0.226,0,0.0,0.868,10318350,24726.0
2025-01-05,8,Sunday,P1104,Camera,10667,10663,463,760,Premium,0.067,0,0.0,0.926,4938821,10773.67
2025-01-05,9,Sunday,P1105,Headphones,12113,11353,327,369,Price_Sensitive,0.023,1,1.55,0.654,3960951,12597.52
2025-01-05,10,Sunday,P1106,Smartwatch,11287,12409,15,341,New_Visitor,0.243,1,24.51,0.03,169305,11851.35
2025-01-05,11,Sunday,P1107,Laptop,47185,44079,444,593,Premium,0.182,0,0.0,0.888,20950140,49072.4
2025-01-05,12,Sunday,P1108,Mobile,47014,50197,142,345,Regular,0.088,0,0.0,0.284,6675988,49364.7
2025-01-05,13,Sunday,P1109,Laptop,46087,43712,56,20,Regular,0.194,0,0.0,0.112,2580872,46087.0
2025-01-05,14,Sunday,P1110,Camera,32754,32630,268,692,Regular,0.091,0,0.0,0.536,8778072,32754.0
2025-01-05,15,Sunday,P1111,Mobile,2719,2556,177,661,New_Visitor,0.071,0,0.0,0.354,481263,2719.0
2025-01-05,16,Sunday,P1112,Laptop,28034,27874,428,625,Price_Sensitive,0.233,1,28.95,0.856,11998552,29155.36
2025-01-05,17,Sunday,P1113,Smartwatch,9067,9957,427,607,Price_Sensitive,0.026,1,17.23,0.854,3871609,9883.03
2025-01-05,18,Sunday,P1114,Smartwatch,8507,9064,238,289,New_Visitor,0.049,0,0.0,0.476,2024666,8932.35
2025-01-05,19,Sunday,P1115,Smartwatch,19782,20435,419,593,New_Visitor,0.086,0,0.0,0.838,8288658,21562.38
2025-01-05,20,Sunday,P1116,Mobile,43803,43382,113,545,New_Visitor,0.121,0,0.0,0.226,4949739,43803.0
2025-01-05,21,Sunday,P1117,Laptop,19596,19029,459,993,Premium,0.228,0,0.0,0.918,8994564,19791.96
2025-01-05,22,Sunday,P1118,Camera,41657,45321,400,198,New_Visitor,0.176,0,0.0,0.8,16662800,45406.13
2025-01-05,23,Sunday,P1119,Smartwatch,5908,5947,240,942,New_Visitor,0.249,1,21.21,0.48,1417920,6026.16
2025-01-06,0,Monday,P1120,Camera,17834,16561,205,617,Regular,0.193,1,10.26,0.41,3655970,17834.0
2025-01-06,1,Monday,P1121,Smartwatch,24210,23623,374,235,New_Visitor,0.105,1,4.5,0.748,9054540,25178.4
2025-01-06,2,Monday,P1122,Headphones,36159,38125,420,114,Price_Sensitive,0.177,0,0.0,0.84,15186780,39413.31
2025-01-06,3,Monday,P1123,Camera,35384,37696,263,861,New_Visitor,0.15,0,0.0,0.526,9305992,36091.68
2025-01-06,4,Monday,P1124,Mobile,11041,11294,227,160,New_Visitor,0.131,0,0.0,0.454,2506307,11593.05
2025-01-06,5,Monday,P1125,Headphones,27806,30209,365,343,Premium,0.231,1,4.58,0.73,10149190,30308.54
2025-01-06,6,Monday,P1126,Headphones,44909,41037,60,48,Regular,0.234,1,13.53,0.12,2694540,44909.0
2025-01-06,7,Monday,P1127,Smartwatch,36744,34285,429,201,Price_Sensitive,0.231,1,15.57,0.858,15763176,38213.76
2025-01-06,8,Monday,P1128,Smartwatch,12194,11108,146,221,New_Visitor,0.199,0,0.0,0.292,1780324,12194.0
2025-01-06,9,Monday,P1129,Camera,25650,25211,99,94,Regular,0.093,0,0.0,0.198,2539350,25650.0
2025-01-06,10,Monday,P1130,Mobile,36868,37510,452,895,Price_Sensitive,0.044,0,0.0,0.904,16664336,39080.08
2025-01-06,11,Monday,P1131,Headphones,46265,41951,170,196,Premium,0.149,0,0.0,0.34,7865050,46265.0
2025-01-06,12,Monday,P1132,Headphones,16741,17288,464,868,New_Visitor,0.12,0,0.0,0.928,7767824,17745.46
2025-01-06,13,Monday,P1133,Headphones,22066,24258,58,346,Premium,0.084,0,0.0,0.116,1279828,23169.3
2025-01-06,14,Monday,P1134,Camera,24942,26437,327,51,Regular,0.056,0,0.0,0.654,8156034,27186.78
2025-01-06,15,Monday,P1135,Camera,18949,18168,380,194,Regular,0.136,0,0.0,0.76,7200620,19706.96
2025-01-06,16,Monday,P1136,Mobile,11985,12127,328,663,Premium,0.09,0,0.0,0.656,3931080,13063.65
2025-01-06,17,Monday,P1137,Camera,13587,12968,476,897,Regular,0.108,0,0.0,0.952,6467412,13722.87
2025-01-06,18,Monday,P1138,Headphones,26899,28060,358,27,Premium,0.142,0,0.0,0.716,9629842,29319.91
2025-01-06,19,Monday,P1139,Camera,49648,50591,258,258,Premium,0.053,0,0.0,0.516,12809184,52130.4
2025-01-06,20,Monday,P1140,Mobile,8470,8034,87,307,New_Visitor,0.204,1,28.33,0.174,736890,8470.0
2025-01-06,21,Monday,P1141,Smartwatch,21889,20983,441,997,Price_Sensitive,0.162,1,25.44,0.882,9653049,22107.89
2025-01-06,22,Monday,P1142,Smartwatch,42374,43077,197,101,Regular,0.229,0,0.0,0.394,8347678,44492.7
2025-01-06,23,Monday,P1143,Camera,38109,40586,204,490,Price_Sensitive,0.074,0,0.0,0.408,7774236,40014.45
2025-01-07,0,Tuesday,P1144,Laptop,7583,7157,351,383,New_Visitor,0.037,0,0.0,0.702,2661633,7886.32
2025-01-07,1,Tuesday,P1145,Camera,25057,24911,233,740,Regular,0.015,0,0.0,0.466,5838281,24305.29
2025-01-07,2,Tuesday,P1146,Mobile,41696,40883,210,777,Regular,0.21,1,15.77,0.42,8756160,40445.12
2025-01-07,3,Tuesday,P1147,Smartwatch,9496,8581,155,147,Premium,0.206,0,0.0,0.31,1471880,9496.0
2025-01-07,4,Tuesday,P1148,Mobile,40452,39685,495,397,New_Visitor,0.06,0,0.0,0.99,20023740,42070.08
2025-01-07,5,Tuesday,P1149,Smartwatch,41260,39333,228,187,Regular,0.154,0,0.0,0.456,9407280,41260.0
2025-01-07,6,Tuesday,P1150,Mobile,12164,11966,485,721,Regular,0.111,0,0.0,0.97,5899540,12285.64
2025-01-07,7,Tuesday,P1151,Camera,19750,18131,380,813,Premium,0.103,0,0.0,0.76,7505000,19947.5
2025-01-07,8,Tuesday,P1152,Headphones,26212,27373,241,246,Regular,0.124,0,0.0,0.482,6317092,27522.6
2025-01-07,9,Tuesday,P1153,Smartwatch,24363,22974,45,770,New_Visitor,0.049,1,25.39,0.09,1096335,23632.11
2025-01-07,10,Tuesday,P1154,Camera,45920,42748,210,173,Regular,0.036,0,0.0,0.42,9643200,45920.0
2025-01-07,11,Tuesday,P1155,Laptop,34508,35922,113,61,Premium,0.069,1,23.98,0.226,3899404,36233.4
2025-01-07,12,Tuesday,P1156,Headphones,10150,9687,363,543,Price_Sensitive,0.086,1,28.86,0.726,3684450,10556.0
2025-01-07,13,Tuesday,P1157,Laptop,49981,51885,312,31,Regular,0.24,1,19.17,0.624,15594072,54479.29
2025-01-07,14,Tuesday,P1158,Laptop,2250,2350,473,729,New_Visitor,0.07,0,0.0,0.946,1064250,2385.0
2025-01-07,15,Tuesday,P1159,Camera,25564,27834,56,307,Regular,0.151,1,16.67,0.112,1431584,26842.2
2025-01-07,16,Tuesday,P1160,Mobile,17274,15663,126,538,Premium,0.056,0,0.0,0.252,2176524,17274.0
2025-01-07,17,Tuesday,P1161,Camera,29898,31664,232,391,Price_Sensitive,0.119,0,0.0,0.464,6936336,31392.9
2025-01-07,18,Tuesday,P1162,Laptop,24577,25050,492,639,New_Visitor,0.125,1,15.91,0.984,12091884,26788.93
2025-01-07,19,Tuesday,P1163,Mobile,21162,20757,48,546,New_Visitor,0.139,1,9.56,0.096,1015776,21162.0
2025-01-07,20,Tuesday,P1164,Mobile,48788,52554,435,127,Regular,0.11,0,0.0,0.87,21222780,53178.92
2025-01-07,21,Tuesday,P1165,Mobile,37614,40432,150,293,New_Visitor,0.234,0,0.0,0.3,5642100,39494.7
2025-01-07,22,Tuesday,P1166,Headphones,45584,48019,486,337,Premium,0.125,0,0.0,0.972,22153824,49686.56
2025-01-07,23,Tuesday,P1167,Headphones,11116,11712,418,378,New_Visitor,0.187,0,0.0,0.836,4646488,12116.44
2025-01-08,0,Wednesday,P1168,Camera,44960,43652,167,343,Regular,0.066,0,0.0,0.334,7508320,44960.0
2025-01-08,1,Wednesday,P1169,Laptop,25057,22777,408,836,Premium,0.173,0,0.0,0.816,10223256,25307.57
2025-01-08,2,Wednesday,P1170,Mobile,2328,2461,436,399,Regular,0.246,1,18.02,0.872,1015008,2537.52
2025-01-08,3,Wednesday,P1171,Smartwatch,15061,14058,61,791,Price_Sensitive,0.106,1,6.92,0.122,918721,14609.17
2025-01-08,4,Wednesday,P1172,Camera,36832,34035,116,245,Premium,0.063,0,0.0,0.232,4272512,36832.0
2025-01-08,5,Wednesday,P1173,Camera,14699,14258,270,73,Price_Sensitive,0.062,0,0.0,0.54,3968730,14699.0
2025-01-08,6,Wednesday,P1174,Headphones,18797,18891,388,509,Price_Sensitive,0.192,0,0.0,0.776,7293236,20488.73
2025-01-08,7,Wednesday,P1175,Camera,29331,29116,278,139,Premium,0.139,0,0.0,0.556,8154018,29331.0
2025-01-08,8,Wednesday,P1176,Smartwatch,45141,44756,449,342,Price_Sensitive,0.041,1,28.67,0.898,20268309,46946.64
2025-01-08,9,Wednesday,P1177,Headphones,29341,31157,49,556,Premium,0.186,0,0.0,0.098,1437709,30808.05
2025-01-08,10,Wednesday,P1178,Headphones,34242,30852,260,920,New_Visitor,0.129,0,0.0,0.52,8902920,33214.74
2025-01-08,11,Wednesday,P1179,Headphones,10403,10784,462,992,Premium,0.025,1,15.48,0.924,4806186,11027.18
2025-01-08,12,Wednesday,P1180,Camera,19629,19908,49,885,New_Visitor,0.146,0,0.0,0.098,961821,20021.58
2025-01-08,13,Wednesday,P1181,Camera,20123,19097,68,590,New_Visitor,0.18,1,20.92,0.136,1368364,20123.0
2025-01-08,14,Wednesday,P1182,Mobile,21170,22012,197,26,Premium,0.221,1,0.88,0.394,4170490,22228.5
2025-01-08,15,Wednesday,P1183,Mobile,40829,43441,446,689,Price_Sensitive,0.049,1,24.96,0.892,18209734,44503.61
2025-01-08,16,Wednesday,P1184,Smartwatch,26623,23994,233,544,Regular,0.088,0,0.0,0.466,6203159,26623.0
2025-01-08,17,Wednesday,P1185,Mobile,13487,12162,374,694,New_Visitor,0.036,1,16.24,0.748,5044138,14026.48
2025-01-08,18,Wednesday,P1186,Mobile,1935,1986,231,56,Premium,0.199,0,0.0,0.462,446985,2031.75
2025-01-08,19,Wednesday,P1187,Headphones,7991,7672,26,543,Regular,0.18,0,0.0,0.052,207766,7991.0
2025-01-08,20,Wednesday,P1188,Mobile,11883,10803,315,289,New_Visitor,0.172,0,0.0,0.63,3743145,12358.32
2025-01-08,21,Wednesday,P1189,Camera,22230,22649,469,26,Premium,0.015,0,0.0,0.938,10425870,24230.7
2025-01-08,22,Wednesday,P1190,Camera,27582,28593,35,501,Regular,0.122,1,3.07,0.07,965370,28961.1
2025-01-08,23,Wednesday,P1191,Laptop,16922,17013,294,176,Price_Sensitive,0.063,0,0.0,0.588,4975068,17768.1
2025-01-09,0,Thursday,P1192,Headphones,3593,3328,204,868,Regular,0.046,0,0.0,0.408,732972,3485.21
2025-01-09,1,Thursday,P1193,Smartwatch,39714,39076,452,103,Regular,0.192,0,0.0,0.904,17950728,41302.56
2025-01-09,2,Thursday,P1194,Camera,7924,7639,431,546,Regular,0.061,0,0.0,0.862,3415244,8240.96
2025-01-09,3,Thursday,P1195,Laptop,17675,17210,280,511,New_Visitor,0.14,0,0.0,0.56,4949000,17675.0
2025-01-09,4,Thursday,P1196,Laptop,6276,5762,17,610,Price_Sensitive,0.213,1,18.79,0.034,106692,6276.0
2025-01-09,5,Thursday,P1197,Headphones,42152,45623,387,918,New_Visitor,0.201,0,0.0,0.774,16312824,44681.12
2025-01-09,6,Thursday,P1198,Laptop,29041,30118,237,540,Regular,0.064,0,0.0,0.474,6882717,30493.05
2025-01-09,7,Thursday,P1199,Smartwatch,49768,50666,81,414,New_Visitor,0.119,0,0.0,0.162,4031208,52256.4
2025-01-09,8,Thursday,P1200,Mobile,27089,26506,375,514,Price_Sensitive,0.183,0,0.0,0.75,10158375,28172.56
2025-01-09,9,Thursday,P1201,Laptop,21081,22800,276,233,Price_Sensitive,0.035,0,0.0,0.552,5818356,22135.05
2025-01-09,10,Thursday,P1202,Laptop,39059,35296,319,105,New_Visitor,0.179,0,0.0,0.638,12459821,40621.36
2025-01-09,11,Thursday,P1203,Mobile,49653,49993,242,992,Regular,0.018,0,0.0,0.484,12016026,50646.06
2025-01-09,12,Thursday,P1204,Mobile,16025,16241,183,141,Regular,0.207,0,0.0,0.366,2932575,16826.25
2025-01-09,13,Thursday,P1205,Headphones,6590,6094,132,921,Premium,0.235,0,0.0,0.264,869880,6392.3
2025-01-09,14,Thursday,P1206,Laptop,25791,27704,187,879,Regular,0.198,0,0.0,0.374,4822917,26306.82
2025-01-09,15,Thursday,P1207,Camera,46663,47157,399,333,Regular,0.119,0,0.0,0.798,18618537,50862.67
2025-01-09,16,Thursday,P1208,Laptop,30045,29676,475,31,Price_Sensitive,0.166,0,0.0,0.95,14271375,31246.8
2025-01-09,17,Thursday,P1209,Camera,27245,26313,247,375,Premium,0.054,1,19.76,0.494,6729515,27245.0
2025-01-09,18,Thursday,P1210,Camera,24863,25138,411,742,Regular,0.09,0,0.0,0.822,10218693,26354.78
2025-01-09,19,Thursday,P1211,Camera,49270,45146,252,54,Premium,0.027,0,0.0,0.504,12416040,49270.0
2025-01-09,20,Thursday,P1212,Laptop,30527,28537,222,178,Regular,0.188,0,0.0,0.444,6776994,30527.0
2025-01-09,21,Thursday,P1213,Headphones,26463,27879,453,171,Regular,0.218,0,0.0,0.906,11987739,28844.67
2025-01-09,22,Thursday,P1214,Headphones,26349,27536,237,597,Price_Sensitive,0.226,0,0.0,0.474,6244713,27666.45
2025-01-09,23,Thursday,P1215,Mobile,29926,30478,255,656,New_Visitor,0.102,0,0.0,0.51,7631130,31422.3
2025-01-10,0,Friday,P1216,Smartwatch,19842,18793,291,539,New_Visitor,0.228,0,0.0,0.582,5774022,19842.0
2025-01-10,1,Friday,P1217,Headphones,1025,1121,384,312,Premium,0.027,0,0.0,0.768,393600,1117.25
2025-01-10,2,Friday,P1218,Headphones,29552,29228,240,103,Regular,0.033,0,0.0,0.48,7092480,29552.0
2025-01-10,3,Friday,P1219,Laptop,27116,26568,172,248,Premium,0.088,1,3.93,0.344,4663952,27116.0
2025-01-10,4,Friday,P1220,Smartwatch,36642,34697,19,726,Regular,0.051,0,0.0,0.038,696198,35542.74
2025-01-10,5,Friday,P1221,Mobile,11583,12344,266,152,New_Visitor,0.151,1,7.58,0.532,3081078,12162.15
2025-01-10,6,Friday,P1222,Headphones,42767,38803,430,706,Premium,0.138,1,21.16,0.86,18389810,43194.67
